holding_month,base_return_path,variant,unhedged_weight,portfolio_return
2016-01,net25_underlying,fully_hedged_proxy,0.0,-4.544509935431023e-05
2016-02,net25_underlying,fully_hedged_proxy,0.0,0.0164136513493108
2016-03,net25_underlying,fully_hedged_proxy,0.0,0.0221677191496499
2016-04,net25_underlying,fully_hedged_proxy,0.0,0.0011884524529281
2016-05,net25_underlying,fully_hedged_proxy,0.0,-0.0050974871123603
2016-06,net25_underlying,fully_hedged_proxy,0.0,0.0364684890673837
2016-07,net25_underlying,fully_hedged_proxy,0.0,0.0132207568815178
2016-08,net25_underlying,fully_hedged_proxy,0.0,-0.0069954714696703
2016-09,net25_underlying,fully_hedged_proxy,0.0,0.010805492893842
2016-10,net25_underlying,fully_hedged_proxy,0.0,-0.0205807175270313
2016-11,net25_underlying,fully_hedged_proxy,0.0,-0.0081487025403084
2016-12,net25_underlying,fully_hedged_proxy,0.0,0.0116201233812433
2017-01,net25_underlying,fully_hedged_proxy,0.0,0.0223194687906881
2017-02,net25_underlying,fully_hedged_proxy,0.0,0.0187846937181919
2017-03,net25_underlying,fully_hedged_proxy,0.0,0.0135779717284637
2017-04,net25_underlying,fully_hedged_proxy,0.0,0.0111767385960982
2017-05,net25_underlying,fully_hedged_proxy,0.0,0.0295066020440964
2017-06,net25_underlying,fully_hedged_proxy,0.0,-0.0058204908391807
2017-07,net25_underlying,fully_hedged_proxy,0.0,0.0203232524644723
2017-08,net25_underlying,fully_hedged_proxy,0.0,0.0096083729592856
2017-09,net25_underlying,fully_hedged_proxy,0.0,0.0011915692321159
2017-10,net25_underlying,fully_hedged_proxy,0.0,0.0169848023596471
2017-11,net25_underlying,fully_hedged_proxy,0.0,0.007151001125206
2017-12,net25_underlying,fully_hedged_proxy,0.0,0.0131783540819132
2018-01,net25_underlying,fully_hedged_proxy,0.0,0.0547595674063655
2018-02,net25_underlying,fully_hedged_proxy,0.0,-0.0351043743945159
2018-03,net25_underlying,fully_hedged_proxy,0.0,-0.0053597961662404
2018-04,net25_underlying,fully_hedged_proxy,0.0,0.0010981810183487
2018-05,net25_underlying,fully_hedged_proxy,0.0,0.0060903607337844
2018-06,net25_underlying,fully_hedged_proxy,0.0,-0.0020940420790791
2018-07,net25_underlying,fully_hedged_proxy,0.0,0.007208328004384
2018-08,net25_underlying,fully_hedged_proxy,0.0,0.0246550815344191
2018-09,net25_underlying,fully_hedged_proxy,0.0,-0.0041367528650434
2018-10,net25_underlying,fully_hedged_proxy,0.0,-0.0290098617131284
2018-11,net25_underlying,fully_hedged_proxy,0.0,0.0008063258438859
2018-12,net25_underlying,fully_hedged_proxy,0.0,-0.0113815942659382
2019-01,net25_underlying,fully_hedged_proxy,0.0,0.0155200362563727
2019-02,net25_underlying,fully_hedged_proxy,0.0,-0.0022230236083418
2019-03,net25_underlying,fully_hedged_proxy,0.0,0.0189246192137167
2019-04,net25_underlying,fully_hedged_proxy,0.0,0.0193748054959109
2019-05,net25_underlying,fully_hedged_proxy,0.0,-0.036524768191114
2019-06,net25_underlying,fully_hedged_proxy,0.0,0.036690354268355
2019-07,net25_underlying,fully_hedged_proxy,0.0,0.0072999252869694
2019-08,net25_underlying,fully_hedged_proxy,0.0,0.0373163523943832
2019-09,net25_underlying,fully_hedged_proxy,0.0,-0.0073759278582891
2019-10,net25_underlying,fully_hedged_proxy,0.0,0.01389257841599
2019-11,net25_underlying,fully_hedged_proxy,0.0,0.0078357622045874
2019-12,net25_underlying,fully_hedged_proxy,0.0,0.026926753365253
2020-01,net25_underlying,fully_hedged_proxy,0.0,0.0023223732250562
2020-02,net25_underlying,fully_hedged_proxy,0.0,-0.0141150085247045
