rank,combination,mean_decision_distance,min_pair_distance,max_pair_distance,historical_2023_set
111,ADM | FAA | KDA | LAA | RAA,0.8608507636223255,0.6101254480286739,0.971830985915493,False
112,AAA | DM | FAA | QSF | RAA,0.8606635039321903,0.6618125940389378,0.9833333333333334,False
113,DM | FAA | LAA | PAA | RAA,0.860643145635098,0.6101254480286739,0.9833333333333334,False
114,ADM | BAA_Balanced | DM | LAA | RAA,0.8606183310675923,0.6101254480286739,0.9833333333333334,False
115,ADM | DAA | DM | FAA | LAA,0.8602193687729335,0.6386287149357383,0.9782608695652174,False
116,ADM | DM | QSF | RAA | VAA,0.86018268376815,0.6722152864474961,0.9833333333333334,False
117,ADM | BAA_Aggressive | KDA | LAA | QSF,0.8601199257176713,0.7460545933273917,0.971830985915493,False
118,ADM | FAA | GPM | QSF | RAA,0.8600010723167422,0.738450008477058,0.9685534591194968,False
119,ADM | BAA_Aggressive | DM | GPM | LAA,0.8599760163804978,0.6119069769138721,0.9782608695652174,False
120,BAA_Balanced | DM | LAA | RAA | VAA,0.8595977317044415,0.6101254480286739,0.9833333333333334,False
121,ADM | DAA | FAA | QSF | RAA,0.8594526031030801,0.6386287149357383,0.9685534591194968,False
122,ADM | DM | KDA | LAA | RAA,0.8591229355872448,0.6101254480286739,0.9833333333333334,False
123,ADM | FAA | QSF | RAA | VAA,0.8589762461359278,0.7039891840648093,0.9685534591194968,False
124,ADM | DM | FAA | KDA | LAA,0.8589208149350291,0.6722152864474961,0.9782608695652174,False
125,ADM | DM | GTAA | LAA | VAA,0.8588606454406179,0.6722152864474961,0.9782608695652174,False
126,ADM | DM | GPM | LAA | RAA,0.8587730425429179,0.6101254480286739,0.9833333333333334,False
127,ADM | DM | FAA | PAA | RAA,0.8587420120910083,0.6722152864474961,0.9833333333333334,False
128,ADM | FAA | KDA | QSF | RAA,0.8586337575916613,0.6910555849523415,0.9685534591194968,False
129,ADM | BAA_Balanced | DM | FAA | RAA,0.858575325674227,0.6722152864474961,0.9833333333333334,False
130,ADM | BAA_Balanced | FAA | LAA | RAA,0.8585652850249221,0.6101254480286739,0.971830985915493,False
131,ADM | BAA_Aggressive | LAA | QSF | RAA,0.8585433833018227,0.6101254480286739,0.971830985915493,False
132,BAA_Aggressive | DM | KDA | QSF | RAA,0.8582369801644691,0.7460545933273917,0.9833333333333334,False
133,ADM | DM | GPM | LAA | VAA,0.8581621326156992,0.6722152864474961,0.9782608695652174,False
134,BAA_Aggressive | DM | GTAA | LAA | VAA,0.857973655721769,0.6982793498867158,0.9782608695652174,False
135,ADM | BAA_Balanced | DM | LAA | VAA,0.8575620134004225,0.6722152864474961,0.9782608695652174,False
136,ADM | FAA | GPM | LAA | RAA,0.8575467114827522,0.6101254480286739,0.971830985915493,False
137,ADM | DM | FAA | GTAA | RAA,0.8574733973679518,0.6722152864474961,0.9833333333333334,False
138,ADM | BAA_Aggressive | DM | GTAA | RAA,0.8574082998977101,0.6722152864474961,0.9833333333333334,False
139,DM | FAA | LAA | PAA | QSF,0.8572502754047366,0.6207275577645948,0.9782608695652174,False
140,ADM | BAA_Aggressive | GTAA | QSF | RAA,0.8572104150348003,0.7568485291943027,0.94245658087466,False
141,BAA_Aggressive | DM | FAA | GTAA | RAA,0.8571632535570586,0.6973058880504235,0.9833333333333334,False
142,ADM | DM | LAA | PAA | QSF,0.8570192425547081,0.6207275577645948,0.9782608695652174,False
143,ADM | BAA_Balanced | DM | GTAA | LAA,0.8568811061904956,0.6722152864474961,0.9782608695652174,False
144,ADM | DAA | DM | GTAA | LAA,0.8567981207506629,0.6722152864474961,0.9782608695652174,False
145,DM | EAA | FAA | LAA | RAA,0.856420233922828,0.6101254480286739,0.9833333333333334,False
146,ADM | GTAA | LAA | RAA | VAA,0.8562647330629224,0.6101254480286739,0.971830985915493,False
147,ADM | DM | EAA | FAA | LAA,0.8561718486303611,0.6722152864474961,0.9782608695652174,False
148,ADM | DAA | LAA | QSF | RAA,0.8559058403955492,0.6101254480286739,0.971830985915493,False
149,ADM | DM | FAA | RAA | VAA,0.8558071626029273,0.6722152864474961,0.9833333333333334,False
150,ADM | BAA_Aggressive | DM | FAA | QSF,0.8557608484595581,0.6722152864474961,0.94245658087466,False
151,AAA | ADM | BAA_Aggressive | DM | LAA,0.8557577951445918,0.6722152864474961,0.9782608695652174,False
152,AAA | DM | LAA | QSF | RAA,0.8557572709622235,0.6101254480286739,0.9833333333333334,False
153,BAA_Aggressive | DAA | DM | LAA | RAA,0.8557530074831998,0.6101254480286739,0.9833333333333334,False
154,ADM | LAA | QSF | RAA | VAA,0.8557332805427451,0.6101254480286739,0.971830985915493,False
155,AAA | ADM | DM | QSF | RAA,0.8556796788924169,0.6722152864474961,0.9833333333333334,False
156,ADM | BAA_Balanced | LAA | QSF | VAA,0.8554844293912545,0.7168017319161111,0.971830985915493,False
157,ADM | BAA_Aggressive | FAA | GTAA | LAA,0.8552776731064176,0.6973058880504235,0.971830985915493,False
158,AAA | ADM | BAA_Aggressive | LAA | QSF,0.8552665968878399,0.7306975293160801,0.971830985915493,False
159,BAA_Aggressive | DM | FAA | GPM | LAA,0.8551500434318802,0.6119069769138721,0.9782608695652174,False
160,DM | KDA | LAA | RAA | VAA,0.8551385664410928,0.6101254480286739,0.9833333333333334,False
161,ADM | BAA_Balanced | LAA | QSF | RAA,0.855090824721143,0.6101254480286739,0.971830985915493,False
162,BAA_Balanced | DM | KDA | LAA | QSF,0.8547997394424327,0.6197903396071828,0.9782608695652174,False
163,DM | FAA | GTAA | LAA | VAA,0.8547650316752726,0.6973058880504235,0.9782608695652174,False
164,ADM | GPM | GTAA | LAA | QSF,0.854464798359124,0.7232987948265727,0.971830985915493,False
165,ADM | BAA_Aggressive | LAA | QSF | VAA,0.8544585093408028,0.6982793498867158,0.971830985915493,False
166,DM | GPM | GTAA | QSF | RAA,0.8543724599161312,0.7232987948265727,0.9833333333333334,False
167,DAA | DM | GTAA | LAA | RAA,0.8542220531625745,0.6101254480286739,0.9833333333333334,False
168,BAA_Aggressive | DAA | DM | FAA | LAA,0.8542083702625185,0.6386287149357383,0.9782608695652174,False
169,AAA | BAA_Aggressive | DM | LAA | RAA,0.8541556782057942,0.6101254480286739,0.9833333333333334,False
170,DM | EAA | FAA | LAA | QSF,0.8539366730010343,0.66262737884406,0.9782608695652174,False
171,ADM | DM | EAA | LAA | QSF,0.8537978507737127,0.66262737884406,0.9782608695652174,False
172,BAA_Balanced | DM | FAA | LAA | VAA,0.8535992133063551,0.7039891840648093,0.9782608695652174,False
173,DM | FAA | GPM | LAA | VAA,0.8535305806953417,0.7039891840648093,0.9782608695652174,False
174,DM | GTAA | KDA | LAA | QSF,0.8534940034566978,0.6193150680482424,0.9782608695652174,False
175,BAA_Balanced | DM | QSF | RAA | VAA,0.85331000061781,0.7168017319161111,0.9833333333333334,False
176,BAA_Aggressive | DM | FAA | KDA | RAA,0.8532143714989276,0.6910555849523415,0.9833333333333334,False
