strategy_a,strategy_b,n_months,mean_L1_target_weight_distance,normalized_L1_distance,mean_holdings_jaccard,holdings_disagreement,transition_jaccard,transition_timing_disagreement,primary_decision_distance,change_rate_a,change_rate_b
DM,LAA,216,2.0,1.0,0.0,1.0,0.06521739130434782,0.9347826086956522,0.9782608695652174,0.17674418604651163,0.05116279069767442
DM,PAA,216,1.9040637860082301,0.9520318930041151,0.06988536155202821,0.9301146384479718,0.14201183431952663,0.8579881656804733,0.91337823237752,0.17674418604651163,0.7209302325581395
DM,QSF,216,1.9814814814814814,0.9907407407407407,0.009259259259259259,0.9907407407407407,0.17777777777777778,0.8222222222222222,0.9345679012345679,0.17674418604651163,0.31627906976744186
DM,RAA,216,2.0,1.0,0.0,1.0,0.05,0.95,0.9833333333333334,0.17674418604651163,0.11627906976744186
DM,VAA,216,1.6944444444444444,0.8472222222222222,0.1527777777777778,0.8472222222222222,0.18064516129032257,0.8193548387096774,0.8379330943847073,0.17674418604651163,0.6744186046511628
EAA,FAA,216,1.7892957921412629,0.8946478960706314,0.09145723104056437,0.9085427689594356,0.6763285024154589,0.32367149758454106,0.7089540542048693,0.9209302325581395,0.6930232558139535
EAA,GPM,216,1.3782029906159923,0.6891014953079961,0.2101245590828924,0.7898754409171076,0.8535353535353535,0.14646464646464652,0.5418138608965833,0.9209302325581395,0.786046511627907
EAA,GTAA,216,1.615136297673432,0.807568148836716,0.22731848912404468,0.7726815108759553,0.5517241379310345,0.4482758620689655,0.6761751739272123,0.9209302325581395,0.5441860465116279
EAA,KDA,216,1.4708921419968763,0.7354460709984382,0.20219539976484419,0.7978046002351558,0.8899521531100478,0.11004784688995217,0.5477661727078487,0.9209302325581395,0.9162790697674419
EAA,LAA,216,1.3789679593620547,0.6894839796810274,0.25182429453262783,0.7481757054673721,0.05555555555555555,0.9444444444444444,0.7940347098642814,0.9209302325581395,0.05116279069767442
EAA,PAA,216,0.9551016303435387,0.47755081517176934,0.4650793650793651,0.5349206349206349,0.7828282828282829,0.21717171717171713,0.4098810557547072,0.9209302325581395,0.7209302325581395
EAA,QSF,216,1.2226638241305776,0.6113319120652888,0.28001543209876545,0.7199845679012346,0.3434343434343434,0.6565656565656566,0.66262737884406,0.9209302325581395,0.31627906976744186
EAA,RAA,216,1.46329347321111,0.731646736605555,0.22423758083480305,0.775762419165197,0.12060301507537688,0.8793969849246231,0.7956020468984583,0.9209302325581395,0.11627906976744186
EAA,VAA,216,1.6263233274444957,0.8131616637222479,0.16304012345679014,0.8369598765432098,0.6650485436893204,0.3349514563106796,0.6616909988587124,0.9209302325581395,0.6744186046511628
FAA,GPM,216,1.8204732510288058,0.9102366255144029,0.07160493827160493,0.928395061728395,0.582089552238806,0.417910447761194,0.7521807116679974,0.6930232558139535,0.786046511627907
FAA,GTAA,216,1.5166666666666657,0.7583333333333329,0.21286375661375662,0.7871362433862434,0.453551912568306,0.5464480874316939,0.6973058880504235,0.6930232558139535,0.5441860465116279
FAA,KDA,216,1.7498004601012889,0.8749002300506444,0.13023589065255733,0.8697641093474426,0.6714975845410628,0.3285024154589372,0.6910555849523415,0.6930232558139535,0.9162790697674419
FAA,LAA,216,1.9629629629629624,0.9814814814814812,0.014660493827160493,0.9853395061728395,0.05263157894736842,0.9473684210526316,0.9713964695689841,0.6930232558139535,0.05116279069767442
FAA,PAA,216,1.7980967078189292,0.8990483539094646,0.10871362433862436,0.8912863756613756,0.5670103092783505,0.4329896907216495,0.7411081400974965,0.6930232558139535,0.7209302325581395
FAA,QSF,216,1.9537037037037035,0.9768518518518517,0.023148148148148147,0.9768518518518519,0.3151515151515151,0.6848484848484848,0.8795173961840629,0.6930232558139535,0.31627906976744186
FAA,RAA,216,1.9999999999999996,0.9999999999999998,0.0,1.0,0.09433962264150944,0.9056603773584906,0.9685534591194968,0.6930232558139535,0.11627906976744186
FAA,VAA,216,1.6419753086419748,0.8209876543209874,0.16975308641975306,0.8302469135802469,0.5392670157068062,0.46073298429319376,0.7039891840648093,0.6930232558139535,0.6744186046511628
GPM,GTAA,216,1.6796296296296296,0.8398148148148148,0.15669091710758373,0.8433090828924162,0.5132275132275133,0.48677248677248675,0.7232987948265727,0.786046511627907,0.5441860465116279
GPM,KDA,216,1.4440711691044408,0.7220355845522204,0.2150077160493827,0.7849922839506173,0.8029556650246306,0.19704433497536944,0.568024067826069,0.786046511627907,0.9162790697674419
GPM,LAA,216,1.474022633744856,0.737011316872428,0.20899470899470898,0.791005291005291,0.046511627906976744,0.9534883720930233,0.8271683266569142,0.786046511627907,0.05116279069767442
GPM,PAA,216,1.163065843621399,0.5815329218106995,0.3854258524397413,0.6145741475602586,0.7513513513513513,0.24864864864864866,0.4815852393398689,0.786046511627907,0.7209302325581395
GPM,QSF,216,1.5102880658436215,0.7551440329218108,0.20833333333333334,0.7916666666666666,0.33146067415730335,0.6685393258426966,0.738450008477058,0.786046511627907,0.31627906976744186
GPM,RAA,216,1.4449588477366253,0.7224794238683127,0.24345789241622576,0.7565421075837743,0.12790697674418605,0.872093023255814,0.7837048515693003,0.786046511627907,0.11627906976744186
GPM,VAA,216,1.7319958847736625,0.8659979423868313,0.11998456790123456,0.8800154320987654,0.6185567010309279,0.38144329896907214,0.7091522244848897,0.786046511627907,0.6744186046511628
GTAA,KDA,216,1.354602365056967,0.6773011825284835,0.30974059376837154,0.6902594062316285,0.5096153846153846,0.4903846153846154,0.6193150680482424,0.5441860465116279,0.9162790697674419
GTAA,LAA,216,1.7333333333333334,0.8666666666666667,0.09339175485008816,0.9066082451499118,0.0847457627118644,0.9152542372881356,0.8961763830349048,0.5441860465116279,0.05116279069767442
GTAA,PAA,216,1.5252057613168726,0.7626028806584363,0.24175434904601575,0.7582456509539842,0.4782608695652174,0.5217391304347826,0.6808625540157344,0.5441860465116279,0.7209302325581395
GTAA,QSF,216,1.7962962962962963,0.8981481481481481,0.13680555555555554,0.8631944444444445,0.2012987012987013,0.7987012987012987,0.8533479637646305,0.5441860465116279,0.31627906976744186
GTAA,RAA,216,1.7333333333333332,0.8666666666666666,0.0901601998824221,0.9098398001175779,0.14516129032258066,0.8548387096774194,0.8771150588205546,0.5441860465116279,0.11627906976744186
GTAA,VAA,216,1.8333333333333333,0.9166666666666666,0.10617283950617283,0.8938271604938272,0.49714285714285716,0.5028571428571429,0.7711169900058789,0.5441860465116279,0.6744186046511628
KDA,LAA,216,1.764925635786625,0.8824628178933125,0.10489969135802468,0.8951003086419753,0.050505050505050504,0.9494949494949495,0.9090193586767458,0.9162790697674419,0.05116279069767442
KDA,PAA,216,1.368490584025429,0.6842452920127144,0.26516019988242207,0.734839800117578,0.7339901477832512,0.2660098522167488,0.5616983147823471,0.9162790697674419,0.7209302325581395
KDA,QSF,216,1.571841290585798,0.785920645292899,0.1267746913580247,0.8732253086419753,0.3383838383838384,0.6616161616161615,0.7735873718503452,0.9162790697674419,0.31627906976744186
KDA,RAA,216,1.7378604901720494,0.8689302450860247,0.1029670047031158,0.8970329952968842,0.12121212121212122,0.8787878787878788,0.8815837063902626,0.9162790697674419,0.11627906976744186
KDA,VAA,216,1.575308220261903,0.7876541101309515,0.14467592592592593,0.8553240740740741,0.71,0.29000000000000004,0.6443260614016753,0.9162790697674419,0.6744186046511628
LAA,PAA,216,1.3770576131687244,0.6885288065843622,0.2505787037037037,0.7494212962962963,0.031055900621118012,0.968944099378882,0.8022980674198469,0.05116279069767442,0.7209302325581395
LAA,QSF,216,1.5810185185185186,0.7905092592592593,0.20949074074074073,0.7905092592592593,0.01282051282051282,0.9871794871794872,0.8560660018993352,0.05116279069767442,0.31627906976744186
LAA,RAA,216,0.8972222222222223,0.4486111111111111,0.45694444444444443,0.5430555555555556,0.16129032258064516,0.8387096774193549,0.6101254480286739,0.05116279069767442,0.11627906976744186
LAA,VAA,216,1.9050925925925926,0.9525462962962963,0.047453703703703706,0.9525462962962963,0.0684931506849315,0.9315068493150684,0.9455331473025538,0.05116279069767442,0.6744186046511628
PAA,QSF,216,1.096707818930041,0.5483539094650205,0.3346560846560847,0.6653439153439153,0.3515151515151515,0.6484848484848484,0.6207275577645948,0.7209302325581395,0.31627906976744186
PAA,RAA,216,1.3689300411522634,0.6844650205761317,0.256838557533002,0.743161442466998,0.13924050632911392,0.8607594936708861,0.762795318904672,0.7209302325581395,0.11627906976744186
PAA,VAA,216,1.6412037037037037,0.8206018518518519,0.15476190476190474,0.8452380952380952,0.5789473684210527,0.42105263157894735,0.6956308595562981,0.7209302325581395,0.6744186046511628
QSF,RAA,216,1.5907407407407408,0.7953703703703704,0.20462962962962963,0.7953703703703704,0.056818181818181816,0.9431818181818182,0.8446408529741863,0.31627906976744186,0.11627906976744186
QSF,VAA,216,1.5,0.75,0.25,0.75,0.29878048780487804,0.7012195121951219,0.733739837398374,0.31627906976744186,0.6744186046511628
RAA,VAA,216,1.916666666666667,0.9583333333333335,0.041666666666666664,0.9583333333333334,0.1643835616438356,0.8356164383561644,0.9174277016742772,0.11627906976744186,0.6744186046511628
